new_label,source,original_label,original_name
195,cortical,195,7Networks_LH_DorsAttn_Post_23
196,cortical,196,7Networks_LH_DorsAttn_Post_24
197,cortical,197,7Networks_LH_DorsAttn_Post_25
198,cortical,198,7Networks_LH_DorsAttn_Post_26
199,cortical,199,7Networks_LH_DorsAttn_Post_27
200,cortical,200,7Networks_LH_DorsAttn_Post_28
201,cortical,201,7Networks_LH_DorsAttn_Post_29
202,cortical,202,7Networks_LH_DorsAttn_Post_30
203,cortical,203,7Networks_LH_DorsAttn_Post_31
204,cortical,204,7Networks_LH_DorsAttn_Post_32
205,cortical,205,7Networks_LH_DorsAttn_Post_33
206,cortical,206,7Networks_LH_DorsAttn_Post_34
207,cortical,207,7Networks_LH_DorsAttn_Post_35
208,cortical,208,7Networks_LH_DorsAttn_Post_36
209,cortical,209,7Networks_LH_DorsAttn_Post_37
210,cortical,210,7Networks_LH_DorsAttn_Post_38
211,cortical,211,7Networks_LH_DorsAttn_Post_39
212,cortical,212,7Networks_LH_DorsAttn_Post_40
213,cortical,213,7Networks_LH_DorsAttn_Post_41
214,cortical,214,7Networks_LH_DorsAttn_Post_42
215,cortical,215,7Networks_LH_DorsAttn_Post_43
216,cortical,216,7Networks_LH_DorsAttn_Post_44
217,cortical,217,7Networks_LH_DorsAttn_Post_45
218,cortical,218,7Networks_LH_DorsAttn_Post_46
219,cortical,219,7Networks_LH_DorsAttn_Post_47
220,cortical,220,7Networks_LH_DorsAttn_Post_48
221,cortical,221,7Networks_LH_DorsAttn_Post_49
222,cortical,222,7Networks_LH_DorsAttn_Post_50
223,cortical,223,7Networks_LH_DorsAttn_FEF_1
224,cortical,224,7Networks_LH_DorsAttn_FEF_2
225,cortical,225,7Networks_LH_DorsAttn_FEF_3
226,cortical,226,7Networks_LH_DorsAttn_FEF_4
227,cortical,227,7Networks_LH_DorsAttn_FEF_5
228,cortical,228,7Networks_LH_DorsAttn_FEF_6
229,cortical,229,7Networks_LH_DorsAttn_FEF_7
230,cortical,230,7Networks_LH_DorsAttn_PrCv_1
231,cortical,231,7Networks_LH_DorsAttn_PrCv_2
232,cortical,232,7Networks_LH_DorsAttn_PrCv_3
233,cortical,233,7Networks_LH_DorsAttn_PrCv_4
234,cortical,234,7Networks_LH_SalVentAttn_ParOper_1
235,cortical,235,7Networks_LH_SalVentAttn_ParOper_2
236,cortical,236,7Networks_LH_SalVentAttn_ParOper_3
237,cortical,237,7Networks_LH_SalVentAttn_ParOper_4
238,cortical,238,7Networks_LH_SalVentAttn_ParOper_5
239,cortical,239,7Networks_LH_SalVentAttn_ParOper_6
240,cortical,240,7Networks_LH_SalVentAttn_ParOper_7
241,cortical,241,7Networks_LH_SalVentAttn_ParOper_8
242,cortical,242,7Networks_LH_SalVentAttn_ParOper_9
243,cortical,243,7Networks_LH_SalVentAttn_TempOcc_1
244,cortical,244,7Networks_LH_SalVentAttn_TempOcc_2
245,cortical,245,7Networks_LH_SalVentAttn_FrOperIns_1
246,cortical,246,7Networks_LH_SalVentAttn_FrOperIns_2
247,cortical,247,7Networks_LH_SalVentAttn_FrOperIns_3
248,cortical,248,7Networks_LH_SalVentAttn_FrOperIns_4
249,cortical,249,7Networks_LH_SalVentAttn_FrOperIns_5
250,cortical,250,7Networks_LH_SalVentAttn_FrOperIns_6
251,cortical,251,7Networks_LH_SalVentAttn_FrOperIns_7
252,cortical,252,7Networks_LH_SalVentAttn_FrOperIns_8
253,cortical,253,7Networks_LH_SalVentAttn_FrOperIns_9
254,cortical,254,7Networks_LH_SalVentAttn_FrOperIns_10
255,cortical,255,7Networks_LH_SalVentAttn_FrOperIns_11
256,cortical,256,7Networks_LH_SalVentAttn_FrOperIns_12
257,cortical,257,7Networks_LH_SalVentAttn_FrOperIns_13
258,cortical,258,7Networks_LH_SalVentAttn_FrOperIns_14
259,cortical,259,7Networks_LH_SalVentAttn_FrOperIns_15
260,cortical,260,7Networks_LH_SalVentAttn_FrOperIns_16
261,cortical,261,7Networks_LH_SalVentAttn_FrOperIns_17
262,cortical,262,7Networks_LH_SalVentAttn_FrOperIns_18
263,cortical,263,7Networks_LH_SalVentAttn_FrOperIns_19
264,cortical,264,7Networks_LH_SalVentAttn_FrOperIns_20
265,cortical,265,7Networks_LH_SalVentAttn_FrOperIns_21
266,cortical,266,7Networks_LH_SalVentAttn_FrOperIns_22
267,cortical,267,7Networks_LH_SalVentAttn_FrOperIns_23
268,cortical,268,7Networks_LH_SalVentAttn_PFCl_1
269,cortical,269,7Networks_LH_SalVentAttn_PFCl_2
270,cortical,270,7Networks_LH_SalVentAttn_Med_1
271,cortical,271,7Networks_LH_SalVentAttn_Med_2
272,cortical,272,7Networks_LH_SalVentAttn_Med_3
273,cortical,273,7Networks_LH_SalVentAttn_Med_4
274,cortical,274,7Networks_LH_SalVentAttn_Med_5
275,cortical,275,7Networks_LH_SalVentAttn_Med_6
276,cortical,276,7Networks_LH_SalVentAttn_Med_7
277,cortical,277,7Networks_LH_SalVentAttn_Med_8
278,cortical,278,7Networks_LH_SalVentAttn_Med_9
279,cortical,279,7Networks_LH_SalVentAttn_Med_10
280,cortical,280,7Networks_LH_SalVentAttn_Med_11
281,cortical,281,7Networks_LH_SalVentAttn_Med_12
282,cortical,282,7Networks_LH_SalVentAttn_Med_13
283,cortical,283,7Networks_LH_SalVentAttn_Med_14
284,cortical,284,7Networks_LH_SalVentAttn_Med_15
285,cortical,285,7Networks_LH_SalVentAttn_Med_16
286,cortical,286,7Networks_LH_SalVentAttn_Med_17
287,cortical,287,7Networks_LH_SalVentAttn_Med_18
288,cortical,288,7Networks_LH_SalVentAttn_Med_19
289,cortical,289,7Networks_LH_Limbic_OFC_1
290,cortical,290,7Networks_LH_Limbic_OFC_2
291,cortical,291,7Networks_LH_Limbic_OFC_3
292,cortical,292,7Networks_LH_Limbic_OFC_4
293,cortical,293,7Networks_LH_Limbic_OFC_5
294,cortical,294,7Networks_LH_Limbic_OFC_6
295,cortical,295,7Networks_LH_Limbic_OFC_7
296,cortical,296,7Networks_LH_Limbic_OFC_8
297,cortical,297,7Networks_LH_Limbic_OFC_9
298,cortical,298,7Networks_LH_Limbic_OFC_10
299,cortical,299,7Networks_LH_Limbic_OFC_11
300,cortical,300,7Networks_LH_Limbic_OFC_12
301,cortical,301,7Networks_LH_Limbic_OFC_13
302,cortical,302,7Networks_LH_Limbic_OFC_14
303,cortical,303,7Networks_LH_Limbic_TempPole_1
304,cortical,304,7Networks_LH_Limbic_TempPole_2
305,cortical,305,7Networks_LH_Limbic_TempPole_3
306,cortical,306,7Networks_LH_Limbic_TempPole_4
307,cortical,307,7Networks_LH_Limbic_TempPole_5
308,cortical,308,7Networks_LH_Limbic_TempPole_6
309,cortical,309,7Networks_LH_Limbic_TempPole_7
310,cortical,310,7Networks_LH_Limbic_TempPole_8
